runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
FRDC-S-C-1A,0005,0.5283,0.3715,0.2381
FRDC-S-C-1A,0006,0.354,0.2912,0.25
FRDC-S-C-1A,0007,0.1873,0.2039,0.2174
FRDC-S-C-1A,0008,0.3829,0.4262,0.5
FRDC-S-C-1A,0009,0.2382,0.2924,0.3462
FRDC-S-C-1A,0010,0.2102,0.3618,0.5
FRDC-S-C-1A,0011,0.2384,0.1709,0.125
FRDC-S-C-1A,0012,0.3165,0.3135,0.3333
FRDC-S-C-1A,0013,0.6197,0.8015,1.0
FRDC-S-C-1A,0014,0.376,0.3542,0.36
FRDC-S-C-1A,0015,0.5612,0.5366,0.5294
FRDC-S-C-1A,0016,0.1215,0.1672,0.2045
FRDC-S-C-1A,0017,0.1516,0.2535,0.35
FRDC-S-C-1A,0018,0.1749,0.2169,0.25
FRDC-S-C-1A,0019,0.4083,0.2788,0.1765
FRDC-S-C-1A,0020,0.4142,0.4668,0.5
FRDC-S-C-1A,0021,0.101,0.153,0.2
FRDC-S-C-1A,0022,0.3737,0.2868,0.2222
FRDC-S-C-1A,0023,0.4209,0.3211,0.25
FRDC-S-C-1A,0024,0.0139,0.0358,0.0571
FRDC-S-C-1A,0025,0.3065,0.4148,0.5455
FRDC-S-C-1A,0026,0.2999,0.3958,0.5
FRDC-S-C-1A,0027,0.6809,0.6461,0.6
FRDC-S-C-1A,0028,0.3211,0.2714,0.2222
FRDC-S-C-1A,0029,0.1563,0.2051,0.28
FRDC-S-C-1A,0030,0.2751,0.2433,0.24
FRDC-S-C-1A,0031,0.306,0.3609,0.4286
FRDC-S-C-1A,0032,0.1932,0.109,0.0385
FRDC-S-C-1A,0033,0.0,0.0,0.0
KLE-S-C-1A,0001,0.7199,0.7509,0.7857
KLE-S-C-1A,0002,0.4655,0.5641,0.6429
KLE-S-C-1A,0003,0.6695,0.5955,0.5385
KLE-S-C-1A,0004,0.5255,0.6072,0.7
KLE-S-C-1A,0005,0.7546,0.5411,0.3333
KLE-S-C-1A,0006,0.6774,0.5615,0.45
KLE-S-C-1A,0007,0.8658,0.629,0.3913
KLE-S-C-1A,0008,0.7067,0.5952,0.5
KLE-S-C-1A,0009,0.432,0.5077,0.5769
KLE-S-C-1A,0010,0.6325,0.5612,0.5
KLE-S-C-1A,0011,0.5769,0.7669,0.9375
KLE-S-C-1A,0012,0.728,0.7911,0.8667
KLE-S-C-1A,0013,0.9828,0.991,1.0
KLE-S-C-1A,0014,0.6805,0.5564,0.44
KLE-S-C-1A,0015,0.6988,0.672,0.6471
KLE-S-C-1A,0016,0.5603,0.5407,0.5227
KLE-S-C-1A,0017,0.5937,0.7303,0.85
KLE-S-C-1A,0018,0.6766,0.667,0.6667
KLE-S-C-1A,0019,0.7811,0.6544,0.5294
KLE-S-C-1A,0020,0.5986,0.6846,0.75
KLE-S-C-1A,0021,0.6482,0.5624,0.48
KLE-S-C-1A,0022,0.644,0.6381,0.6111
KLE-S-C-1A,0023,0.5835,0.6971,0.8125
KLE-S-C-1A,0024,0.4262,0.4334,0.4286
KLE-S-C-1A,0025,0.6969,0.7081,0.7273
KLE-S-C-1A,0026,0.6736,0.634,0.6
KLE-S-C-1A,0027,0.864,0.7284,0.6
KLE-S-C-1A,0028,0.5178,0.5531,0.5926
KLE-S-C-1A,0029,0.6285,0.5976,0.56
KLE-S-C-1A,0030,0.6789,0.5386,0.4
KLE-S-C-1A,0031,0.2627,0.4612,0.6429
KLE-S-C-1A,0032,0.5556,0.6038,0.6538
KLE-S-C-1A,0033,0.7852,0.8635,0.9375
FRDC-S-C-2A,0001,0.5374,0.6194,0.7143
FRDC-S-C-2A,0002,0.0917,0.1887,0.2857
FRDC-S-C-2A,0003,0.2899,0.3647,0.4615
FRDC-S-C-2A,0004,0.0451,0.0973,0.15
FRDC-S-C-2A,0005,0.3955,0.507,0.619
FRDC-S-C-2A,0006,0.3315,0.3034,0.3
FRDC-S-C-2A,0007,0.0439,0.0658,0.087
FRDC-S-C-2A,0008,0.0503,0.2752,0.5
FRDC-S-C-2A,0009,0.0427,0.0796,0.1154
FRDC-S-C-2A,0010,0.2269,0.3351,0.4375
FRDC-S-C-2A,0011,0.3143,0.408,0.5
FRDC-S-C-2A,0012,0.157,0.2768,0.4
FRDC-S-C-2A,0013,0.4893,0.7321,1.0
FRDC-S-C-2A,0014,0.1698,0.2663,0.36
FRDC-S-C-2A,0015,0.4531,0.4824,0.5294
FRDC-S-C-2A,0016,0.0532,0.1064,0.1591
FRDC-S-C-2A,0017,0.0,0.0,0.0
FRDC-S-C-2A,0018,0.0,0.0,0.0
FRDC-S-C-2A,0019,0.1279,0.2008,0.2941
FRDC-S-C-2A,0020,0.1576,0.2279,0.3
FRDC-S-C-2A,0021,0.0539,0.1077,0.16
FRDC-S-C-2A,0022,0.1061,0.1082,0.1111
FRDC-S-C-2A,0023,0.2506,0.2188,0.1875
FRDC-S-C-2A,0024,0.0194,0.0243,0.0286
FRDC-S-C-2A,0025,0.2133,0.2435,0.2727
FRDC-S-C-2A,0026,0.0383,0.0666,0.1
FRDC-S-C-2A,0027,0.6277,0.7036,0.8
FRDC-S-C-2A,0028,0.0986,0.1033,0.1111
FRDC-S-C-2A,0029,0.0645,0.1116,0.16
FRDC-S-C-2A,0030,0.0167,0.0286,0.04
FRDC-S-C-2A,0031,0.1622,0.2248,0.2857
FRDC-S-C-2A,0032,0.3517,0.3787,0.4231
FRDC-S-C-2A,0033,0.0,0.0,0.0
KLE-S-C-2A,0001,0.7199,0.7509,0.7857
KLE-S-C-2A,0002,0.4829,0.5734,0.6429
KLE-S-C-2A,0003,0.6695,0.5955,0.5385
KLE-S-C-2A,0004,0.5255,0.6072,0.7
KLE-S-C-2A,0005,0.7546,0.5411,0.3333
KLE-S-C-2A,0006,0.6252,0.5089,0.4
KLE-S-C-2A,0007,0.8658,0.629,0.3913
KLE-S-C-2A,0008,0.7067,0.5952,0.5
KLE-S-C-2A,0009,0.432,0.5077,0.5769
KLE-S-C-2A,0010,0.6325,0.5612,0.5
KLE-S-C-2A,0011,0.5745,0.7658,0.9375
KLE-S-C-2A,0012,0.728,0.7911,0.8667
KLE-S-C-2A,0013,0.9828,0.991,1.0
KLE-S-C-2A,0014,0.6805,0.5564,0.44
KLE-S-C-2A,0015,0.6988,0.672,0.6471
KLE-S-C-2A,0016,0.5705,0.5233,0.4773
KLE-S-C-2A,0017,0.5944,0.7307,0.85
KLE-S-C-2A,0018,0.6766,0.667,0.6667
KLE-S-C-2A,0019,0.7811,0.6544,0.5294
KLE-S-C-2A,0020,0.5986,0.6846,0.75
KLE-S-C-2A,0021,0.6482,0.5624,0.48
KLE-S-C-2A,0022,0.649,0.6687,0.6667
KLE-S-C-2A,0023,0.5835,0.6971,0.8125
KLE-S-C-2A,0024,0.4262,0.4334,0.4286
KLE-S-C-2A,0025,0.7742,0.7948,0.8182
KLE-S-C-2A,0026,0.6736,0.634,0.6
KLE-S-C-2A,0027,0.864,0.7284,0.6
KLE-S-C-2A,0028,0.5178,0.5531,0.5926
KLE-S-C-2A,0029,0.6285,0.5976,0.56
KLE-S-C-2A,0030,0.6789,0.5386,0.4
KLE-S-C-2A,0031,0.2256,0.3698,0.5
KLE-S-C-2A,0032,0.5722,0.5721,0.5769
KLE-S-C-2A,0033,0.7852,0.8635,0.9375
KLE-S-C-3A,0001,0.7745,0.8536,0.9286
KLE-S-C-3A,0002,0.4728,0.5573,0.6429
KLE-S-C-3A,0003,0.5678,0.5606,0.5385
KLE-S-C-3A,0004,0.385,0.5266,0.65
KLE-S-C-3A,0005,0.6954,0.6305,0.5714
KLE-S-C-3A,0006,0.6106,0.6018,0.6
KLE-S-C-3A,0007,0.7753,0.7591,0.7391
KLE-S-C-3A,0008,0.6624,0.5718,0.5
KLE-S-C-3A,0009,0.4148,0.5369,0.6538
KLE-S-C-3A,0010,0.6245,0.5529,0.5
KLE-S-C-3A,0011,0.6171,0.7845,0.9375
KLE-S-C-3A,0012,0.7819,0.8221,0.8667
KLE-S-C-3A,0013,0.8972,0.9457,1.0
KLE-S-C-3A,0014,0.5245,0.6259,0.72
KLE-S-C-3A,0015,0.7661,0.7334,0.7059
KLE-S-C-3A,0016,0.5304,0.579,0.6136
KLE-S-C-3A,0017,0.681,0.7923,0.9
KLE-S-C-3A,0018,0.7254,0.734,0.75
KLE-S-C-3A,0019,0.7534,0.7263,0.7059
KLE-S-C-3A,0020,0.6218,0.6901,0.75
KLE-S-C-3A,0021,0.5164,0.6098,0.68
KLE-S-C-3A,0022,0.5691,0.7096,0.8333
KLE-S-C-3A,0023,0.7119,0.791,0.875
KLE-S-C-3A,0024,0.3218,0.3952,0.4571
KLE-S-C-3A,0025,0.6626,0.7328,0.8182
KLE-S-C-3A,0026,0.7419,0.769,0.8
KLE-S-C-3A,0027,0.8696,0.8311,0.8
KLE-S-C-3A,0028,0.595,0.7071,0.8148
KLE-S-C-3A,0029,0.573,0.6089,0.64
KLE-S-C-3A,0030,0.7129,0.6567,0.6
KLE-S-C-3A,0031,0.3026,0.4055,0.5
KLE-S-C-3A,0032,0.6208,0.6496,0.6923
KLE-S-C-3A,0033,0.8054,0.7172,0.625
KLE-S-C-4A,0001,0.7745,0.8536,0.9286
KLE-S-C-4A,0002,0.5039,0.5743,0.6429
KLE-S-C-4A,0003,0.5678,0.5606,0.5385
KLE-S-C-4A,0004,0.385,0.5266,0.65
KLE-S-C-4A,0005,0.6954,0.6305,0.5714
KLE-S-C-4A,0006,0.6106,0.6018,0.6
KLE-S-C-4A,0007,0.7753,0.7591,0.7391
KLE-S-C-4A,0008,0.6624,0.5718,0.5
KLE-S-C-4A,0009,0.4148,0.5369,0.6538
KLE-S-C-4A,0010,0.6245,0.5529,0.5
KLE-S-C-4A,0011,0.5778,0.6699,0.75
KLE-S-C-4A,0012,0.7819,0.8221,0.8667
KLE-S-C-4A,0013,0.8972,0.9457,1.0
KLE-S-C-4A,0014,0.5245,0.6259,0.72
