,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
FRDC-S-C-2A,30,0.219,0.2975,0.3333,0.0167,0.0286,0.04,0.1,0.00286
FRDC-S-C-2A,31,0.2191,0.2986,0.3333,0.1622,0.2248,0.2857,0.6,0.13488
FRDC-S-C-2A,32,0.3301,0.3886,0.5,0.3517,0.3787,0.4231,0.25,0.094675
FRDC-S-C-2A,33,0.2275,0.6377,1,0,0,0,0,0
FRDC-S-C-3A,1,0.6945,0.7436,0.8,0.3842,0.4708,0.5714,0.39,0.236808
FRDC-S-C-3A,2,0.5964,0.464,0.4,0.2805,0.3614,0.4286,0.3,0.12381
FRDC-S-C-3A,3,0.5706,0.6883,0.8,0.4914,0.4252,0.3846,0.383333333,0.213420833
FRDC-S-C-3A,4,0.4646,0.4795,0.5,0.1605,0.1412,0.125,0.45,0.1396575
FRDC-S-C-3A,5,0.7974,0.6968,0.6,0.4903,0.3763,0.2857,0.226666667,0.121618
FRDC-S-C-3A,6,0.6159,0.5168,0.4,0.346,0.3373,0.35,0.475,0.20284875
FRDC-S-C-3A,7,0.865,0.934,1,0.1708,0.2389,0.3043,0.06,0.035187
FRDC-S-C-3A,8,0.4804,0.7384,1,0.361,0.415,0.5,0.08,0.046136
FRDC-S-C-3A,9,0.6449,0.6501,0.6,0.2612,0.3221,0.3846,0.26,0.126386
FRDC-S-C-3A,10,0.8073,0.7687,0.75,0.2359,0.375,0.5,0.321428571,0.183808928
FRDC-S-C-3A,11,0.5233,0.6543,0.75,0.2384,0.1709,0.125,0.353333333,0.145785333
FRDC-S-C-3A,12,0.8648,0.9271,1,0.3217,0.3495,0.4,0.16,0.102128
FRDC-S-C-3A,13,0.609,0.8304,1,0.6194,0.8014,1,0.413333333,0.337238666
FRDC-S-C-3A,14,0.5112,0.7701,1,0.4138,0.3726,0.36,0.4,0.22854
FRDC-S-C-3A,15,0.7874,0.8815,1,0.5375,0.5539,0.5882,0.345,0.2476065
FRDC-S-C-3A,16,0.9146,0.7621,0.6,0.1215,0.1672,0.2045,0.273333333,0.127004333
FRDC-S-C-3A,17,0.9674,0.6813,0.4,0.1538,0.229,0.3,0,0
FRDC-S-C-3A,18,0.7336,0.6927,0.6667,0.1754,0.2172,0.25,0.266666667,0.05792
FRDC-S-C-3A,19,0.7629,0.8784,1,0.387,0.268,0.1765,0.28,0.07504
FRDC-S-C-3A,20,0.746,0.6774,0.6,0.4344,0.5024,0.55,0.454285714,0.228233143
FRDC-S-C-3A,21,0.5209,0.5893,0.6667,0.1022,0.1535,0.2,0.133333333,0.020466667
FRDC-S-C-3A,22,0.5239,0.6194,0.75,0.3368,0.2683,0.2222,0.18,0.048294
FRDC-S-C-3A,23,0.7993,0.901,1,0.3988,0.3098,0.25,0.12,0.037176
FRDC-S-C-3A,24,0.8225,0.7455,0.6667,0.0418,0.0789,0.1143,0.04,0.003156
FRDC-S-C-3A,25,0.3693,0.3217,0.2,0.2899,0.4063,0.5455,0.8,0.32504
FRDC-S-C-3A,26,0.5057,0.4491,0.4,0.3244,0.4278,0.55,0.566666667,0.24242
FRDC-S-C-3A,27,0.7291,0.7037,0.6667,0.6831,0.6472,0.6,0.538333333,0.348409333
FRDC-S-C-3A,28,0.7724,0.8836,1,0.3251,0.2911,0.2593,0.246666667,0.071804667
FRDC-S-C-3A,29,0.9882,0.9947,1,0.1428,0.1779,0.24,0.068571429,0.012198857
FRDC-S-C-3A,30,0.6857,0.502,0.3333,0.2691,0.2414,0.24,0.175,0.042245
FRDC-S-C-3A,31,0.5951,0.6224,0.6667,0.3076,0.3617,0.4286,0.6,0.21702
FRDC-S-C-3A,32,0.5447,0.3925,0.25,0.2285,0.1461,0.0769,0.2,0.02922
