,,F-score,,,S-score,,,H-Score
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,
hultech-S-E-4A,75,0.9862,0.6963,0.4,0.484,0.3826,0.3077,0.67
hultech-S-E-4A,76,0.4396,0.355,0.3333,0.1943,0.2545,0.3333,0.27
hultech-S-E-4A,77,0.5699,0.4702,0.4,0.2646,0.358,0.4667,0.15
hultech-S-E-4A,78,0.4054,0.5666,0.6667,0.3817,0.6058,0.8571,0.22
hultech-S-E-4A,79,0.7017,0.8563,1,0.3243,0.3522,0.4,0.52
hultech-S-E-4A,80,0.7121,0.8544,1,0.3523,0.5092,0.6923,0.353333333
hultech-S-E-4A,81,0.6719,0.6193,0.6,0.3009,0.337,0.375,0.46
hultech-S-E-4A,82,0.8439,0.9175,1,0.33,0.4998,0.6923,0.711111111
hultech-S-E-4A,83,0.5605,0.5553,0.6,0.3103,0.4102,0.5294,0.02
KLE-S-E-1A,51,0.7983,0.9,1,0.6315,0.5736,0.5238,0.08
KLE-S-E-1A,52,0.8489,0.7575,0.6667,0.6029,0.6886,0.7857,0.06
KLE-S-E-1A,53,0.534,0.4839,0.5,0.6293,0.716,0.8,0.062222222
KLE-S-E-1A,54,0.7454,0.5634,0.4,0.6299,0.6737,0.7059,0.14
KLE-S-E-1A,55,0.7345,0.5622,0.4,0.6678,0.6142,0.5556,0.04
KLE-S-E-1A,56,0,0,0,0.3192,0.2828,0.25,0.06
KLE-S-E-1A,57,0.5742,0.4628,0.4,0.4815,0.5895,0.6875,0.04
KLE-S-E-1A,58,0.7025,0.6516,0.6,0.8226,0.8699,0.9091,0.12
KLE-S-E-1A,59,0.1243,0.1648,0.2,0.5631,0.6899,0.8235,0.02
KLE-S-E-1A,60,0.8025,0.6987,0.6,0.8776,0.9396,1,0.68
KLE-S-E-1A,61,0.8351,0.614,0.4,0.8401,0.7371,0.6364,0.08
KLE-S-E-1A,62,0.6519,0.4892,0.3333,0.8482,0.8564,0.8571,0.18
KLE-S-E-1A,63,0.8135,0.7791,0.75,0.8592,0.6762,0.5,0.08
KLE-S-E-1A,64,0.8044,0.6024,0.4,0.81,0.7933,0.7778,0.04
KLE-S-E-1A,65,0.713,0.556,0.4,0.8001,0.6794,0.5333,0.04
KLE-S-E-1A,66,0.7151,0.6593,0.6,0.6567,0.6733,0.6842,0.1
KLE-S-E-1A,67,1,0.6666,0.3333,0.9437,0.7218,0.5,0.06
KLE-S-E-1A,68,0.8317,0.5816,0.3333,0.9222,0.818,0.7143,0.124444444
KLE-S-E-1A,69,0.8833,0.6924,0.5,0.7513,0.7339,0.7273,0.14
KLE-S-E-1A,70,0.919,0.585,0.25,0.9566,0.9779,1,0.12
KLE-S-E-1A,71,0.858,0.7529,0.6667,0.8973,0.9017,0.9091,0.06
KLE-S-E-1A,72,0.3927,0.3338,0.3333,0.8106,0.9045,1,0.12
KLE-S-E-1A,73,0.4849,0.5653,0.6,0.6841,0.7454,0.8,0.06
KLE-S-E-1A,74,0.9284,0.7584,0.6,0.9744,0.8007,0.625,0.2
KLE-S-E-1A,75,0.576,0.4642,0.4,0.811,0.7517,0.6923,0.08
KLE-S-E-1A,76,0.8,0.7292,0.6667,0.5918,0.5508,0.5,0.065
KLE-S-E-1A,77,0.9243,0.5578,0.2,0.5027,0.5214,0.5333,0.18
KLE-S-E-1A,78,0.8353,0.7475,0.6667,0.9088,0.9542,1,0.1
KLE-S-E-1A,79,0.8332,0.9201,1,0.8383,0.7165,0.6,0.1
KLE-S-E-1A,80,0.8327,0.6673,0.5,0.8075,0.793,0.7692,0.14
KLE-S-E-1A,81,0.7818,0.6723,0.6,0.4818,0.53,0.5625,0.12
KLE-S-E-1A,82,0.8066,0.9023,1,0.7735,0.8501,0.9231,0.16
KLE-S-E-1A,83,0.4558,0.6062,0.8,0.6399,0.7583,0.8824,0.24
KLE-S-E-2A,51,0.7983,0.9,1,0.6306,0.5731,0.5238,0.08
KLE-S-E-2A,52,0.8489,0.7575,0.6667,0.6029,0.6886,0.7857,0.06
KLE-S-E-2A,53,0.534,0.4839,0.5,0.6441,0.7737,0.9,0.06
KLE-S-E-2A,54,0.7454,0.5634,0.4,0.6224,0.6992,0.7647,0.12
KLE-S-E-2A,55,0.7345,0.5622,0.4,0.6667,0.6137,0.5556,0.04
KLE-S-E-2A,56,0,0,0,0.3192,0.2828,0.25,0.06
KLE-S-E-2A,57,0.5742,0.4628,0.4,0.4815,0.5895,0.6875,0.04
KLE-S-E-2A,58,0.7025,0.6516,0.6,0.82,0.8685,0.9091,0.12
KLE-S-E-2A,59,0.1243,0.1648,0.2,0.5961,0.7369,0.8824,0.02
KLE-S-E-2A,60,0.7537,0.7814,0.8,0.9008,0.9497,1,0.52
KLE-S-E-2A,61,0.8351,0.614,0.4,0.8401,0.7371,0.6364,0.08
