		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
CNU-S-C-4A	11	0.9449	0.9757	1	CNU-S-C-4A	11	0.3442	0.2803	0.25	CNU-S-C-4A	11	0.2
CNU-S-C-4A	12	0	0	1	CNU-S-C-4A	12	0.2429	0.2086	0.2	CNU-S-C-4A	12	0.8
CNU-S-C-4A	13	0.8921	0.941	1	CNU-S-C-4A	13	0.3462	0.6587	1	CNU-S-C-4A	13	0.72
CNU-S-C-4A	14	0.9789	0.6152	0.25	CNU-S-C-4A	14	0.3703	0.2098	0.08	CNU-S-C-4A	14	0.866666667
CNU-S-C-4A	15	0.7864	0.7142	0.6667	CNU-S-C-4A	15	0.3327	0.3289	0.3529	CNU-S-C-4A	15	0.55
CNU-S-C-4A	16	0.9791	0.6895	0.4	CNU-S-C-4A	16	0.1172	0.0878	0.0682	CNU-S-C-4A	16	0.1
CNU-S-C-4A	17	0.294	0.2769	0.2	CNU-S-C-4A	17	0.0889	0.0732	0.05	CNU-S-C-4A	17	0
CNU-S-C-4A	18	0	0	0	CNU-S-C-4A	18	0	0	0	CNU-S-C-4A	18	0
CNU-S-C-4A	19	0.965	0.7327	0.5	CNU-S-C-4A	19	0.3193	0.2349	0.1765	CNU-S-C-4A	19	0.56
CNU-S-C-4A	20	0.9076	0.8536	0.8	CNU-S-C-4A	20	0.2292	0.2576	0.3	CNU-S-C-4A	20	0.28
CNU-S-C-4A	21	0	0	0	CNU-S-C-4A	21	0	0	0	CNU-S-C-4A	21	0
CNU-S-C-4A	22	0.6722	0.542	0.5	CNU-S-C-4A	22	0.2812	0.2395	0.2222	CNU-S-C-4A	22	0.7
CNU-S-C-4A	23	0.5939	0.5401	0.5	CNU-S-C-4A	23	0.1656	0.1644	0.1875	CNU-S-C-4A	23	0.666666667
CNU-S-C-4A	24	0	0	0	CNU-S-C-4A	24	0	0	0	CNU-S-C-4A	24	0
